"國家" "性別" "父母教育" "數學" "化學" "地科" "生物" "物理" "電腦" "書桌" "書" "房間" "網路" "書量"
"台灣" "女生" "高中" 494.46168 611.16993 584.01152 546.01572 545.23721 "無" "有" "無" "無" "無" "10本以下"
"台灣" "女生" "初中" 562.18871 548.53009 509.18458 489.66965 512.35067 "有" "無" "有" "無" "有" "26-100本"
"台灣" "女生" "高中" 608.96169 502.47684 532.83527 513.86546 490.01499 "有" "有" "有" "有" "有" "26-100本"
"台灣" "女生" "高中" 524.30949 491.72062 490.67261 463.46543 474.03452 "有" "有" "有" "無" "有" "101-200本"
"台灣" "女生" "初中" 630.94258 569.70711 561.96248 547.49724 545.57906 "有" "有" "有" "有" "有" "10本以下"
"台灣" "女生" "高中" 637.06222 617.64963 596.54997 602.95339 539.8638 "有" "有" "有" "無" "有" "10本以下"
"台灣" "女生" "專科" 550.1492 563.08055 543.9929 491.10218 485.76281 "有" "有" "有" "無" "有" "26-100本"
"台灣" "女生" "高中" 515.18578 402.5082 414.67304 443.79818 441.32888 "有" "無" "無" "無" "有" "11-25本"
"台灣" "男生" "專科" 664.18106 652.49003 676.94531 685.85765 646.28169 "有" "有" "有" "有" "有" "26-100本"
"台灣" "男生" "高中" 592.81051 573.53463 600.4566 523.98676 562.45174 "有" "有" "有" "有" "有" "11-25本"
"台灣" "男生" "高中" 577.61922 600.88431 597.85276 596.65209 545.28773 "有" "有" "有" "無" "有" "11-25本"
"台灣" "男生" "高中" 616.32247 614.14267 621.9544 575.72756 577.53324 "有" "有" "有" "有" "有" "101-200本"
"台灣" "男生" "高中" 604.77292 589.70442 595.90752 545.86548 554.2603 "有" "有" "有" "無" "有" "26-100本"
"台灣" "男生" "高中" 568.44556 605.89897 623.64651 604.00283 550.71177 "有" "有" "有" "有" "有" "26-100本"
"台灣" "男生" "高中" 538.81194 547.96904 528.52613 534.04903 540.72632 "有" "有" "有" "有" "無" "26-100本"
"台灣" "男生" "高中" 508.93865 570.64045 556.07515 480.29883 548.64204 "有" "有" "有" "有" "有" "26-100本"
"台灣" "男生" "初中" 433.98715 502.74645 537.77464 427.37068 455.87716 "有" "有" "有" "有" "有" "200本以上"
"台灣" "男生" "初中" 465.07498 491.07119 523.65877 508.29314 532.28873 "有" "有" "無" "有" "有" "26-100本"
"台灣" "男生" "初中" 513.82397 539.97815 504.39546 508.22363 512.49884 "無" "無" "有" "無" "無" "11-25本"
"台灣" "男生" "大學以上" 362.95403 511.44788 552.10251 538.26662 503.62033 "有" "有" "有" "無" "有" "101-200本"
"台灣" "女生" "高中" 722.28147 759.21115 676.72883 697.20721 674.72783 "有" "有" "有" "無" "有" "101-200本"
"台灣" "女生" "高中" 701.92318 660.59538 651.97753 604.76105 613.82996 "有" "有" "有" "有" "有" "26-100本"
"台灣" "女生" "高中" 616.4494 657.09421 675.57214 584.5825 610.94745 "有" "無" "無" "無" "有" "11-25本"
"台灣" "女生" "高中" 625.07892 595.83965 532.75889 556.51193 541.01023 "有" "有" "有" "無" "有" "200本以上"
"台灣" "女生" "初中" 654.5636 568.95522 563.94264 525.05518 571.58525 "有" "無" "有" "無" "無" "26-100本"
"台灣" "女生" "高中" 633.43222 617.36343 599.39003 603.58002 559.976 "有" "有" "有" "無" "有" "11-25本"
"台灣" "女生" "大學以上" 603.60474 592.53783 651.77339 638.64378 537.93143 "有" "有" "有" "有" "有" "26-100本"
"台灣" "女生" "初中" 600.25531 604.38472 537.85702 523.84415 513.68881 "有" "有" "有" "無" "有" "26-100本"
"台灣" "女生" "高中" 477.31718 572.21548 557.78089 593.82949 543.99094 "有" "有" "有" "無" "有" "200本以上"
"台灣" "女生" "高中" 527.43647 565.5169 532.97384 510.30374 520.34298 "有" "有" "無" "無" "有" "101-200本"
"台灣" "女生" "高中" 453.06162 402.20781 460.24347 432.93668 423.76312 "無" "有" "有" "無" "有" "11-25本"
"台灣" "女生" "高中" 401.08342 453.21353 445.70916 454.82761 382.34406 "有" "有" "無" "有" "有" "11-25本"
"台灣" "男生" "大學以上" 485.63976 435.09785 575.66591 483.05302 482.16158 "有" "有" "有" "有" "有" "200本以上"
"台灣" "女生" "高中" 591.65786 508.40967 502.33598 492.23323 507.13514 "有" "有" "有" "有" "有" "26-100本"
"台灣" "女生" "高中" 645.73676 529.13955 503.20996 497.63905 485.65424 "有" "有" "有" "有" "有" "11-25本"
"台灣" "女生" "高中" 509.09016 454.34611 486.01344 488.69223 396.09364 "有" "無" "無" "無" "有" "11-25本"
"台灣" "女生" "國小以下" 410.29585 376.51598 376.5115 314.77347 410.68032 "有" "有" "無" "有" "有" "10本以下"
"台灣" "女生" "高中" 571.80729 550.7073 526.15197 588.739 571.68236 "有" "有" "有" "無" "有" "26-100本"
"台灣" "女生" "初中" 670.98183 617.05333 685.79098 621.10726 542.40861 "無" "無" "有" "無" "無" "11-25本"
"台灣" "女生" "高中" 610.75569 615.01884 600.87395 658.86182 576.1939 "有" "有" "有" "無" "有" "26-100本"
"台灣" "女生" "高中" 568.15159 396.46058 414.22285 411.21661 367.05732 "有" "有" "有" "無" "有" "11-25本"
"台灣" "女生" "大學以上" 631.00671 583.10055 610.32868 583.76068 562.14328 "有" "有" "有" "無" "有" "26-100本"
"台灣" "女生" "高中" 758.5324 778.39634 734.79744 731.68078 681.3988 "有" "有" "有" "無" "有" "11-25本"
"台灣" "女生" "高中" 506.39895 497.15296 490.19306 465.05671 456.42032 "有" "有" "無" "有" "有" "11-25本"
"台灣" "女生" "初中" 451.97825 452.21505 407.83186 439.03187 384.36481 "有" "有" "有" "無" "有" "26-100本"
"台灣" "女生" "初中" 405.60572 354.02045 359.33571 330.55602 377.82488 "有" "有" "有" "無" "有" "11-25本"
"台灣" "男生" "高中" 472.83655 418.58011 477.8999 431.74311 412.06604 "有" "有" "無" "無" "有" "10本以下"
"台灣" "男生" "大學以上" 482.931 411.00297 365.75594 353.11395 269.27101 "有" "有" "無" "有" "有" "11-25本"
"台灣" "男生" "高中" 554.89832 538.18315 560.69668 477.8053 543.55569 "有" "無" "無" "有" "有" "11-25本"
"台灣" "男生" "高中" 418.76693 395.1495 396.48339 372.4842 381.85098 "有" "有" "無" "無" "有" "10本以下"
"台灣" "男生" "高中" 356.32991 370.90077 398.0152 380.64225 352.20178 "有" "有" "無" "無" "有" "26-100本"
"台灣" "男生" "初中" 581.14117 573.70485 578.77352 551.78947 514.21408 "有" "有" "無" "無" "有" "11-25本"
"台灣" "男生" "高中" 280.36667 374.97849 417.31343 368.46671 453.76061 "有" "無" "無" "無" "有" "10本以下"
"台灣" "男生" "高中" 372.70714 454.29177 441.61759 449.57128 460.73273 "有" "無" "有" "無" "有" "10本以下"
"台灣" "男生" "初中" 415.21771 506.13437 535.42154 533.94952 507.80508 "有" "有" "有" "有" "有" "10本以下"
"台灣" "男生" "專科" 612.21593 568.87546 573.79301 548.0812 528.48543 "有" "有" "有" "無" "有" "26-100本"
"台灣" "男生" "高中" 560.08544 561.84868 603.04494 569.49838 503.61869 "有" "有" "有" "無" "有" "26-100本"
"台灣" "男生" "高中" 408.39605 447.22483 435.86545 376.70659 393.04943 "有" "有" "無" "無" "有" "10本以下"
"台灣" "男生" "大學以上" 545.67439 374.81231 382.21847 302.57065 371.70809 "有" "有" "有" "有" "有" "200本以上"
"台灣" "男生" "高中" 552.27471 467.08717 468.03917 396.22763 459.29726 "有" "有" "有" "有" "有" "11-25本"
"台灣" "女生" "高中" 445.87235 525.88017 543.63676 469.04616 474.99612 "無" "無" "有" "有" "無" "11-25本"
"台灣" "女生" "高中" 557.65848 575.00677 608.40199 574.47354 487.40996 "有" "無" "無" "無" "有" "26-100本"
"台灣" "女生" "專科" 584.56893 514.81594 516.40929 548.60265 497.46709 "有" "有" "有" "無" "有" "26-100本"
"台灣" "女生" "高中" 512.88217 596.90654 589.76923 561.79358 586.26609 "有" "無" "無" "無" "有" "101-200本"
"台灣" "女生" "高中" 526.75578 509.8219 541.4865 517.47935 442.83287 "有" "無" "無" "無" "有" "10本以下"
"台灣" "女生" "高中" 537.22242 637.1759 589.72024 573.95155 620.59236 "有" "有" "有" "無" "有" "26-100本"
"台灣" "女生" "初中" 518.7484 485.37404 463.39418 477.23716 451.97129 "有" "有" "有" "有" "有" "26-100本"
"台灣" "女生" "專科" 411.44648 409.83635 453.56629 474.85558 421.20795 "無" "有" "有" "有" "無" "10本以下"
"台灣" "女生" "高中" 577.92168 611.06715 621.59946 612.11964 587.96169 "有" "有" "有" "無" "有" "200本以上"
"台灣" "女生" "專科" 642.6166 476.71855 540.6913 547.05185 520.85275 "有" "有" "有" "有" "有" "10本以下"
"台灣" "男生" "高中" 681.68634 569.27612 456.37209 520.15411 502.35714 "有" "有" "有" "有" "有" "26-100本"
"台灣" "男生" "高中" 639.85265 622.89822 693.00172 642.78292 647.48061 "有" "有" "有" "有" "有" "11-25本"
"台灣" "男生" "高中" 549.1883 406.98548 443.37156 458.4427 433.62332 "有" "無" "無" "無" "有" "11-25本"
"台灣" "男生" "高中" 590.04086 499.86667 515.70661 488.03036 479.81612 "有" "無" "有" "無" "有" "26-100本"
"台灣" "男生" "初中" 650.36119 616.03292 626.63583 593.25654 584.57214 "有" "有" "有" "有" "有" "11-25本"
"台灣" "男生" "高中" 558.251 600.33581 605.25063 527.91859 543.60927 "有" "有" "有" "有" "有" "11-25本"
"台灣" "男生" "高中" 661.54437 614.76952 646.83947 670.04149 584.81491 "有" "有" "有" "有" "無" "26-100本"
"台灣" "男生" "大學以上" 594.67042 479.29719 471.18005 436.54205 477.65222 "有" "無" "有" "有" "有" "26-100本"
"台灣" "男生" "高中" 476.00442 486.31982 456.90706 451.39246 497.65138 "有" "有" "有" "有" "有" "200本以上"
"台灣" "男生" "高中" 463.7839 449.89152 466.41842 426.48077 430.63726 "有" "有" "無" "有" "有" "10本以下"
"台灣" "男生" "初中" 476.25258 410.07246 437.76835 413.52301 435.57107 "有" "有" "有" "有" "有" "101-200本"
"台灣" "女生" "高中" 607.50022 581.89345 594.48929 567.48254 552.25832 "有" "有" "有" "有" "有" "11-25本"
"台灣" "女生" "高中" 393.1299 417.63357 412.62655 413.80997 382.72781 "有" "有" "有" "有" "有" "10本以下"
"台灣" "女生" "高中" 608.68258 559.94152 559.67147 569.55937 541.73157 "有" "有" "有" "有" "有" "200本以上"
"台灣" "女生" "高中" 631.99555 688.66574 647.01787 602.03358 661.64591 "有" "有" "有" "有" "有" "11-25本"
"台灣" "女生" "專科" 560.87037 588.21417 551.29345 588.63141 583.09837 "有" "無" "有" "無" "有" "101-200本"
"台灣" "女生" "高中" 580.70977 493.3142 509.36581 457.31689 457.28306 "有" "有" "有" "有" "有" "200本以上"
"台灣" "女生" "初中" 584.48133 430.65832 402.89805 455.8345 364.18277 "有" "有" "有" "無" "有" "26-100本"
"台灣" "女生" "高中" 573.16686 397.50565 407.72493 477.46706 419.09119 "有" "有" "無" "無" "有" "10本以下"
"台灣" "女生" "大學以上" 589.63012 525.88945 549.69704 582.08669 503.2176 "有" "有" "有" "有" "有" "11-25本"
"台灣" "女生" "高中" 457.00269 453.07539 460.93742 405.32851 394.94011 "有" "有" "有" "有" "有" "101-200本"
"台灣" "男生" "初中" 643.42064 538.50743 516.63079 549.35737 533.44138 "有" "有" "無" "有" "有" "11-25本"
"台灣" "男生" "高中" 638.18112 379.32353 417.4891 414.02263 422.99618 "有" "有" "有" "有" "有" "10本以下"
"台灣" "男生" "高中" 674.32221 587.75241 577.4633 549.22808 496.74554 "有" "有" "有" "無" "有" "11-25本"
"台灣" "男生" "專科" 658.43136 601.68301 581.5049 523.16515 592.17001 "有" "有" "有" "有" "有" "11-25本"
"台灣" "男生" "高中" 579.49008 511.75667 447.46542 464.78579 467.53071 "有" "有" "有" "有" "有" "10本以下"
"台灣" "男生" "初中" 510.26884 490.13141 488.07499 469.0215 460.56754 "有" "有" "有" "有" "有" "11-25本"
"台灣" "男生" "初中" 705.29072 590.72854 600.84481 586.96124 574.82881 "有" "有" "有" "有" "有" "11-25本"
"台灣" "男生" "高中" 674.2402 586.20597 603.11783 547.92681 579.83975 "有" "有" "有" "有" "有" "26-100本"
"台灣" "男生" "初中" 500.20511 488.22229 524.88911 466.6517 450.74586 "有" "無" "無" "無" "有" "10本以下"
"台灣" "男生" "大學以上" 664.00932 607.00776 639.0021 640.86223 599.89434 "有" "有" "無" "無" "有" "26-100本"
"台灣" "女生" "大學以上" 654.56136 616.64907 638.3279 573.07462 544.16148 "有" "有" "有" "有" "有" "101-200本"
"台灣" "男生" "高中" 566.83336 525.39964 581.44053 509.08071 539.27809 "有" "無" "有" "有" "有" "26-100本"
"台灣" "男生" "高中" 673.20924 695.98341 647.12916 609.42338 661.57302 "有" "有" "有" "有" "有" "26-100本"
"台灣" "男生" "大學以上" 627.11179 671.03255 711.33868 626.37004 624.67521 "有" "有" "有" "有" "有" "200本以上"
"台灣" "男生" "高中" 470.19506 482.52863 510.14094 461.77791 441.99686 "有" "有" "有" "有" "有" "10本以下"
"台灣" "男生" "高中" 714.84594 729.54209 685.44259 669.71798 672.7204 "有" "有" "有" "有" "有" "11-25本"
"台灣" "男生" "大學以上" 677.02818 688.6174 629.44851 595.44205 640.05197 "有" "有" "有" "無" "有" "200本以上"
"台灣" "男生" "高中" 759.24682 713.27039 660.42571 625.60397 655.69813 "有" "有" "無" "無" "有" "26-100本"
